시도명,시군명,코드,최근1개월강수량(mm),최근1개월평년강수량(mm),최근1개월평년비(%),최근1개월부족량(mm),금년강수량(mm),금년평년강수량(mm),금년평년비(%),금년부족량(mm),최근1년강수량(mm),최근1년평년강수량(mm),최근1년평년비(%),최근1년부족량(mm),홍수기이후강수량(mm),홍수기이후평년강수량(mm),홍수기이후평년비(%),홍수기이후부족량(mm)
충청남도,공주시,44150,181.9,283.603304914656,64.1388858478707,101.703304914656,428.6,706.768596659706,60.6421963320991,278.168596659706,988.3,1286.11659415376,76.8437328693582,297.816594153756,545.9,844.410045237476,64.6486861541865,298.510045237476
충청남도,보령시,44180,134.2,266.439289018525,50.367947045028,132.239289018525,414.9,672.897064015636,61.6587621179395,257.997064015636,1002.6,1236.7662678635,81.0662472006117,234.166267863495,582.6,820.351291374888,71.0183559318322,237.751291374888
충청남도,아산시,44200,144.8,271.475913862466,53.3380652227432,126.675913862466,393,611.806192506544,64.2360284700447,218.806192506544,970.9,1157.34929211185,83.8899722510197,186.449292111846,527.9,733.353027438505,71.98443045144,205.453027438505
충청남도,서산시,44210,162.8,270.205479415684,60.2504436076029,107.405479415684,456.9,663.44936091907,68.8673509862246,206.54936091907,1012.8,1219.97953910821,83.0177857524024,207.179539108209,630.3,797.323976532202,79.051931028258,167.023976532202
충청남도,논산시,44230,176.3,287.68180453361,61.2829860010847,111.38180453361,438.9,720.853580081765,60.8861511030043,281.953580081765,930.7,1260.19235995687,73.8538043534759,329.492359956874,540.1,849.269341333715,63.5958433577518,309.169341333715
충청남도,계룡시,44250,231.4,308.080705483611,75.1101889476522,76.680705483611,516.8,753.433013094067,68.592693845163,236.633013094067,1021.3,1319.81322492255,77.3821614084776,298.513224922548,625.1,887.970909512013,70.3964503007791,262.870909512013
충청남도,당진시,44270,164.4,272.709184924007,60.2839981520283,108.309184924007,584.9,634.257603128319,92.218051011943,49.3576031283191,1118.2,1175.31413379333,95.1405218272158,57.1141337933345,754.6,759.021435201168,99.4174821689988,4.42143520116781
충청남도,금산군,44710,182.3,294.776327495849,61.8435006462881,112.476327495849,401.6,722.849321478787,55.5579133945117,321.249321478788,916.1,1269.07420483641,72.1864802317126,352.974204836412,496.8,853.906110499794,58.1796984342016,357.106110499794
충청남도,부여군,44760,166.9,289.569371352233,57.6373113014712,122.669371352233,442.7,734.871299857992,60.2418409979473,292.171299857992,955.7,1303.8770955507,73.2967856603349,348.177095550705,581.5,882.759806721747,65.8729583712564,301.259806721747
충청남도,서천군,44770,142.9,266.476965585822,53.6256481628155,123.576965585822,431.6,678.866031812538,63.5766086053311,247.266031812538,919.2,1213.79449587125,75.7294585802357,294.594495871251,581.3,822.609800956006,70.6653384538374,241.309800956006
충청남도,청양군,44790,150.7,274.823726245156,54.835149082277,124.123726245156,414.9,685.96874473418,60.4838053023506,271.06874473418,1013.3,1269.026759522,79.8485920329746,255.726759522001,562.6,830.000054166456,67.78312810654,267.400054166456
충청남도,홍성군,44800,130.5,260.994055036824,50.0011389077761,130.494055036824,387.7,644.461294274455,60.1587718990136,256.761294274455,1052.4,1206.92941716932,87.196482663274,154.52941716932,546.7,776.130595113477,70.4391765306028,229.430595113477
충청남도,예산군,44810,140.8,266.757128520961,52.7820946269243,125.957128520961,396.4,641.270275089706,61.814809667351,244.870275089706,978.3,1209.60117190445,80.8778978330289,231.301171904448,548.3,771.320305476501,71.0859024593259,223.020305476501
충청남도,태안군,44825,120.8,262.180487646752,46.0751298024739,141.380487646752,418.4,649.841673957275,64.3849135516521,231.441673957275,917.2,1191.25203724164,76.9946217362856,274.052037241645,569.3,783.178585978656,72.6909558295194,213.878585978656
전라북도,전주시,45110,150.8,284.590689206884,52.9883814611993,133.790689206884,428.5,700.344351699384,61.184187315889,271.844351699384,1143.7,1229.70630683005,93.0059473264182,86.0063068300517,553.9,833.20060964113,66.4785879403727,279.30060964113
전라북도,군산시,45130,141.5,270.536107317341,52.3035543769466,129.036107317341,392.6,687.282358706463,57.1235380955964,294.682358706463,876.4,1221.98577307892,71.7193292514217,345.585773078917,520.9,823.464228965631,63.2571496948098,302.564228965631
전라북도,익산시,45140,151,271.854518400496,55.5444143023391,120.854518400496,424.4,691.173219735786,61.4028419912211,266.773219735786,946.2,1213.78100055793,77.954754569817,267.581000557926,540.6,818.507040092125,66.0470800518899,277.907040092124
전라북도,정읍시,45180,114.4,274.646225418694,41.653585380829,160.246225418694,410,687.553893147933,59.6316891062655,277.553893147933,1088.8,1251.45599813102,87.0026594323781,162.65599813102,561.7,834.027744692123,67.3478794410309,272.327744692123
전라북도,남원시,45190,181.3,316.807106995082,57.2272515347373,135.507106995082,395.6,777.847268484362,50.8583131969889,382.247268484362,897,1389.20352005171,64.5693728134673,492.203520051711,519.6,918.301317455882,56.5827348957237,398.701317455882
전라북도,김제시,45210,125.8,263.544188520236,47.7339305815656,137.744188520236,345,659.461406124048,52.3154193401128,314.461406124048,1007,1167.09512059409,86.2825987557385,160.095120594089,465.6,788.638464343366,59.0384594527312,323.038464343366
